layer,lang_a,lang_b,point_estimate,ci_low,ci_high,ci_level,boot_std
1,english,hindi,0.13888115917101423,0.13528528259260086,0.14231102103659277,0.95,0.0018784322333422869
1,english,marathi,0.14564712484811487,0.1423108005094025,0.14925384274565046,0.95,0.001845339467231295
1,english,bengali,0.17999211554649014,0.1768916300081379,0.1832826808092673,0.95,0.0017128649110019602
1,english,gujarati,0.17428103782379123,0.17063747480647376,0.17845573699288764,0.95,0.0017633717473583296
1,english,punjabi,0.24515742540976024,0.24163750136283582,0.24937948701486135,0.95,0.0021463576430270515
1,english,urdu,0.1622798418653151,0.15825758186924047,0.16631398271732276,0.95,0.0019281515360350151
1,english,tamil,0.20529978900314247,0.20120624206238297,0.20972952572052633,0.95,0.002240263859249317
1,english,telugu,0.17420608600695767,0.17027096053537913,0.1783635715849887,0.95,0.002096744792536717
1,english,malayalam,0.2021126595262412,0.1985353803340945,0.20641131117618697,0.95,0.00199157070886757
1,english,kannada,0.2206290902982969,0.21559019963007067,0.22464730151613835,0.95,0.002492070258138883
1,hindi,marathi,0.008555473579768887,0.007597363773956817,0.010014454321587004,0.95,0.0006305718339416426
1,hindi,bengali,0.10141745106410659,0.09887853151591001,0.10398374537138075,0.95,0.001360695070819538
1,hindi,gujarati,0.09044012200537302,0.08801152488744109,0.0928516385149808,0.95,0.001177409361270826
1,hindi,punjabi,0.1746120029428515,0.17181377930552427,0.17826827030909276,0.95,0.0017905868905045434
1,hindi,urdu,0.0921747494231655,0.09032674556978418,0.09494151863420563,0.95,0.0012125948748995727
1,hindi,tamil,0.1465681710306993,0.14287148724419932,0.15023003870942736,0.95,0.0018858433817931814
1,hindi,telugu,0.1090064616642365,0.10625743886559014,0.11223832182841888,0.95,0.0015345030158992368
1,hindi,malayalam,0.10191578688418532,0.09893888296384468,0.10468046573848053,0.95,0.0014468608248035307
1,hindi,kannada,0.13471368843179427,0.13155393571283036,0.13779346739560286,0.95,0.001605393412969173
1,marathi,bengali,0.10337477732589764,0.10078567866887381,0.10623068325939919,0.95,0.0014026099460597518
1,marathi,gujarati,0.08457748895338812,0.0830979487204956,0.08662567857833532,0.95,0.0009458133007121566
1,marathi,punjabi,0.18197478328698863,0.17836435277388699,0.18556161426491877,0.95,0.0018785386143510328
1,marathi,urdu,0.08513509949079101,0.08320988127736664,0.0873996253830736,0.95,0.0010837073387286165
1,marathi,tamil,0.13894199890902578,0.13571507180952783,0.14243527325174268,0.95,0.0016701113107582923
1,marathi,telugu,0.1094007438098392,0.10728981270054967,0.11229042961176215,0.95,0.0013516606927562406
1,marathi,malayalam,0.09558366453915082,0.09321706240609595,0.09869089790989574,0.95,0.0013082818190691178
1,marathi,kannada,0.13184332970042273,0.12876336892986073,0.13513138362847152,0.95,0.0016212370117953119
