language,family,condition,group,trial,loss,delta_vs_baseline
english,Indo-European,baseline,,,2.4535694122314453,0.0
english,Indo-European,targeted,Indo-Aryan,,3.099097967147827,0.6455285549163818
english,Indo-European,targeted,Indo-European,,3.1856555938720703,0.732086181640625
english,Indo-European,targeted,Dravidian,,3.0012781620025635,0.5477087497711182
english,Indo-European,random_control,,0.0,3.0149741172790527,0.5614047050476074
english,Indo-European,random_control,,1.0,2.949197769165039,0.49562835693359375
english,Indo-European,random_control,,2.0,2.9816582202911377,0.5280888080596924
english,Indo-European,random_control,,3.0,3.025408983230591,0.5718395709991455
english,Indo-European,random_control,,4.0,3.028400421142578,0.5748310089111328
english,Indo-European,random_control,,5.0,3.028158187866211,0.5745887756347656
english,Indo-European,random_control,,6.0,3.2459259033203125,0.7923564910888672
english,Indo-European,random_control,,7.0,3.004155397415161,0.5505859851837158
english,Indo-European,random_control,,8.0,2.9941787719726562,0.5406093597412109
english,Indo-European,random_control,,9.0,2.9971530437469482,0.5435836315155029
hindi,Indo-Aryan,baseline,,,1.0155974626541138,0.0
hindi,Indo-Aryan,targeted,Indo-Aryan,,2.886439323425293,1.8708418607711792
hindi,Indo-Aryan,targeted,Indo-European,,1.4435640573501587,0.4279665946960449
hindi,Indo-Aryan,targeted,Dravidian,,1.5640296936035156,0.5484322309494019
hindi,Indo-Aryan,random_control,,0.0,2.182894706726074,1.1672972440719604
hindi,Indo-Aryan,random_control,,1.0,2.4728643894195557,1.457266926765442
hindi,Indo-Aryan,random_control,,2.0,2.5976414680480957,1.582044005393982
hindi,Indo-Aryan,random_control,,3.0,1.911765456199646,0.8961679935455322
hindi,Indo-Aryan,random_control,,4.0,1.6703577041625977,0.6547602415084839
hindi,Indo-Aryan,random_control,,5.0,2.716423749923706,1.7008262872695923
hindi,Indo-Aryan,random_control,,6.0,2.146991491317749,1.1313940286636353
hindi,Indo-Aryan,random_control,,7.0,1.8987932205200195,0.8831957578659058
hindi,Indo-Aryan,random_control,,8.0,1.78062105178833,0.7650235891342163
hindi,Indo-Aryan,random_control,,9.0,1.820886254310608,0.8052887916564941
marathi,Indo-Aryan,baseline,,,1.3687716722488403,0.0
marathi,Indo-Aryan,targeted,Indo-Aryan,,3.4921367168426514,2.123365044593811
marathi,Indo-Aryan,targeted,Indo-European,,1.8724095821380615,0.5036379098892212
marathi,Indo-Aryan,targeted,Dravidian,,1.951608657836914,0.5828369855880737
marathi,Indo-Aryan,random_control,,0.0,2.565831184387207,1.1970595121383667
marathi,Indo-Aryan,random_control,,1.0,3.1157987117767334,1.747027039527893
marathi,Indo-Aryan,random_control,,2.0,3.215275526046753,1.8465038537979126
marathi,Indo-Aryan,random_control,,3.0,2.498574733734131,1.1298030614852905
marathi,Indo-Aryan,random_control,,4.0,2.1798510551452637,0.8110793828964233
marathi,Indo-Aryan,random_control,,5.0,3.4269375801086426,2.0581659078598022
marathi,Indo-Aryan,random_control,,6.0,2.6180615425109863,1.249289870262146
marathi,Indo-Aryan,random_control,,7.0,2.3821988105773926,1.0134271383285522
marathi,Indo-Aryan,random_control,,8.0,2.2393627166748047,0.8705910444259644
marathi,Indo-Aryan,random_control,,9.0,2.330106496810913,0.9613348245620728
bengali,Indo-Aryan,baseline,,,0.9090946912765503,0.0
bengali,Indo-Aryan,targeted,Indo-Aryan,,2.37752103805542,1.4684263467788696
bengali,Indo-Aryan,targeted,Indo-European,,1.281984806060791,0.3728901147842407
bengali,Indo-Aryan,targeted,Dravidian,,1.3826825618743896,0.47358787059783936
bengali,Indo-Aryan,random_control,,0.0,1.759695053100586,0.8506003618240356
bengali,Indo-Aryan,random_control,,1.0,2.573284387588501,1.6641896963119507
bengali,Indo-Aryan,random_control,,2.0,3.1379473209381104,2.22885262966156
bengali,Indo-Aryan,random_control,,3.0,1.78963041305542,0.8805357217788696
bengali,Indo-Aryan,random_control,,4.0,1.480689287185669,0.5715945959091187
bengali,Indo-Aryan,random_control,,5.0,2.621356964111328,1.7122622728347778
bengali,Indo-Aryan,random_control,,6.0,1.948367714881897,1.0392730236053467
bengali,Indo-Aryan,random_control,,7.0,1.6829662322998047,0.7738715410232544
bengali,Indo-Aryan,random_control,,8.0,1.529017448425293,0.6199227571487427
bengali,Indo-Aryan,random_control,,9.0,1.6369444131851196,0.7278497219085693
gujarati,Indo-Aryan,baseline,,,0.9239030480384827,0.0
gujarati,Indo-Aryan,targeted,Indo-Aryan,,2.6425912380218506,1.718688189983368
gujarati,Indo-Aryan,targeted,Indo-European,,1.6343051195144653,0.7104020714759827
gujarati,Indo-Aryan,targeted,Dravidian,,1.7930278778076172,0.8691248297691345
gujarati,Indo-Aryan,random_control,,0.0,2.473256826400757,1.5493537783622742
gujarati,Indo-Aryan,random_control,,1.0,2.9151034355163574,1.9912003874778748
gujarati,Indo-Aryan,random_control,,2.0,3.775326728820801,2.851423680782318
gujarati,Indo-Aryan,random_control,,3.0,2.138401746749878,1.2144986987113953
gujarati,Indo-Aryan,random_control,,4.0,1.8362770080566406,0.912373960018158
gujarati,Indo-Aryan,random_control,,5.0,3.621959924697876,2.6980568766593933
gujarati,Indo-Aryan,random_control,,6.0,2.1430773735046387,1.219174325466156
gujarati,Indo-Aryan,random_control,,7.0,2.51664662361145,1.5927435755729675
gujarati,Indo-Aryan,random_control,,8.0,2.0028178691864014,1.0789148211479187
gujarati,Indo-Aryan,random_control,,9.0,2.372098445892334,1.4481953978538513
punjabi,Indo-Aryan,baseline,,,0.7227002382278442,0.0
punjabi,Indo-Aryan,targeted,Indo-Aryan,,1.9709635972976685,1.2482633590698242
punjabi,Indo-Aryan,targeted,Indo-European,,1.1573203802108765,0.4346201419830322
punjabi,Indo-Aryan,targeted,Dravidian,,1.2182869911193848,0.4955867528915405
punjabi,Indo-Aryan,random_control,,0.0,1.87744140625,1.1547411680221558
punjabi,Indo-Aryan,random_control,,1.0,2.791020393371582,2.068320155143738
punjabi,Indo-Aryan,random_control,,2.0,3.5203444957733154,2.797644257545471
punjabi,Indo-Aryan,random_control,,3.0,1.4876989126205444,0.7649986743927002
punjabi,Indo-Aryan,random_control,,4.0,1.3563570976257324,0.6336568593978882
punjabi,Indo-Aryan,random_control,,5.0,3.3735499382019043,2.65084969997406
punjabi,Indo-Aryan,random_control,,6.0,1.446169376373291,0.7234691381454468
punjabi,Indo-Aryan,random_control,,7.0,2.000105381011963,1.2774051427841187
punjabi,Indo-Aryan,random_control,,8.0,1.5286048650741577,0.8059046268463135
punjabi,Indo-Aryan,random_control,,9.0,1.6257460117340088,0.9030457735061646
