language,family,condition,group,trial,loss,delta_vs_baseline
english,Indo-European,baseline,,,2.619581699371338,0.0
english,Indo-European,targeted,Indo-Aryan,,2.819566011428833,0.19998431205749512
english,Indo-European,targeted,Dravidian,,2.7433106899261475,0.12372899055480957
english,Indo-European,targeted,Indo-European,,2.8330202102661133,0.2134385108947754
english,Indo-European,random_control,,0.0,2.7640113830566406,0.14442968368530273
english,Indo-European,random_control,,1.0,2.781045436859131,0.16146373748779297
english,Indo-European,random_control,,2.0,2.787646770477295,0.16806507110595703
english,Indo-European,random_control,,3.0,2.7809340953826904,0.16135239601135254
english,Indo-European,random_control,,4.0,2.78668475151062,0.16710305213928223
english,Indo-European,random_control,,5.0,2.773008108139038,0.1534264087677002
english,Indo-European,random_control,,6.0,2.80439829826355,0.18481659889221191
english,Indo-European,random_control,,7.0,2.7586669921875,0.1390852928161621
english,Indo-European,random_control,,8.0,2.77744722366333,0.1578655242919922
english,Indo-European,random_control,,9.0,2.7818267345428467,0.1622450351715088
hindi,Indo-Aryan,baseline,,,1.1432658433914185,0.0
hindi,Indo-Aryan,targeted,Indo-Aryan,,2.441002130508423,1.2977362871170044
hindi,Indo-Aryan,targeted,Dravidian,,1.5430097579956055,0.399743914604187
hindi,Indo-Aryan,targeted,Indo-European,,1.155084490776062,0.011818647384643555
hindi,Indo-Aryan,random_control,,0.0,1.4505013227462769,0.3072354793548584
hindi,Indo-Aryan,random_control,,1.0,1.430316686630249,0.28705084323883057
hindi,Indo-Aryan,random_control,,2.0,1.4369980096817017,0.2937321662902832
hindi,Indo-Aryan,random_control,,3.0,1.403163194656372,0.2598973512649536
hindi,Indo-Aryan,random_control,,4.0,1.4009727239608765,0.257706880569458
hindi,Indo-Aryan,random_control,,5.0,1.3890372514724731,0.2457714080810547
hindi,Indo-Aryan,random_control,,6.0,1.350254774093628,0.20698893070220947
hindi,Indo-Aryan,random_control,,7.0,1.6747627258300781,0.5314968824386597
hindi,Indo-Aryan,random_control,,8.0,1.2225323915481567,0.07926654815673828
hindi,Indo-Aryan,random_control,,9.0,1.43515944480896,0.2918936014175415
marathi,Indo-Aryan,baseline,,,1.3479543924331665,0.0
marathi,Indo-Aryan,targeted,Indo-Aryan,,2.7321982383728027,1.3842438459396362
marathi,Indo-Aryan,targeted,Dravidian,,1.802633285522461,0.45467889308929443
marathi,Indo-Aryan,targeted,Indo-European,,1.3525760173797607,0.004621624946594238
marathi,Indo-Aryan,random_control,,0.0,1.8123060464859009,0.4643516540527344
marathi,Indo-Aryan,random_control,,1.0,1.703862190246582,0.3559077978134155
