language,family,condition,group,trial,loss,delta_vs_baseline
english,Indo-European,baseline,,,2.479299545288086,0.0
english,Indo-European,targeted,Indo-Aryan,,2.5781445503234863,0.09884500503540039
english,Indo-European,targeted,Indo-European,,2.6712043285369873,0.19190478324890137
english,Indo-European,targeted,Dravidian,,2.5656416416168213,0.08634209632873535
english,Indo-European,random_control,,0.0,2.5687355995178223,0.08943605422973633
english,Indo-European,random_control,,1.0,2.5646133422851562,0.08531379699707031
english,Indo-European,random_control,,2.0,2.5653488636016846,0.08604931831359863
english,Indo-European,random_control,,3.0,2.5678176879882812,0.08851814270019531
english,Indo-European,random_control,,4.0,2.6756019592285156,0.1963024139404297
english,Indo-European,random_control,,5.0,2.5904853343963623,0.11118578910827637
english,Indo-European,random_control,,6.0,2.5909335613250732,0.1116340160369873
english,Indo-European,random_control,,7.0,2.574117660522461,0.094818115234375
english,Indo-European,random_control,,8.0,2.5570054054260254,0.07770586013793945
english,Indo-European,random_control,,9.0,2.565131425857544,0.08583188056945801
hindi,Indo-Aryan,baseline,,,1.1496182680130005,0.0
hindi,Indo-Aryan,targeted,Indo-Aryan,,1.6808792352676392,0.5312609672546387
hindi,Indo-Aryan,targeted,Indo-European,,1.2374672889709473,0.08784902095794678
hindi,Indo-Aryan,targeted,Dravidian,,1.4107096195220947,0.26109135150909424
hindi,Indo-Aryan,random_control,,0.0,1.2757781744003296,0.1261599063873291
hindi,Indo-Aryan,random_control,,1.0,1.439286470413208,0.2896682024002075
hindi,Indo-Aryan,random_control,,2.0,1.6996562480926514,0.5500379800796509
hindi,Indo-Aryan,random_control,,3.0,1.4119958877563477,0.26237761974334717
hindi,Indo-Aryan,random_control,,4.0,1.2714736461639404,0.12185537815093994
hindi,Indo-Aryan,random_control,,5.0,1.364816665649414,0.21519839763641357
hindi,Indo-Aryan,random_control,,6.0,1.6772282123565674,0.5276099443435669
hindi,Indo-Aryan,random_control,,7.0,1.3078773021697998,0.15825903415679932
hindi,Indo-Aryan,random_control,,8.0,1.4057713747024536,0.2561531066894531
hindi,Indo-Aryan,random_control,,9.0,1.534234642982483,0.3846163749694824
marathi,Indo-Aryan,baseline,,,1.409094214439392,0.0
marathi,Indo-Aryan,targeted,Indo-Aryan,,1.9320895671844482,0.5229953527450562
